"colony_id","spp","species","year","area_cm2","surv"
1,"AC","Acropora cytherea",2009,843.522517038649,1
1,"AC","Acropora cytherea",2010,2086.63891737069,1
1,"AC","Acropora cytherea",2011,3688.75932532154,1
1,"AC","Acropora cytherea",2012,1187.28379838952,1
1,"AC","Acropora cytherea",2013,586.723768626543,0
2,"AC","Acropora cytherea",2009,1096.08870470905,1
2,"AC","Acropora cytherea",2010,1687.65883128019,0
3,"AC","Acropora cytherea",2009,453.869585250704,0
4,"AC","Acropora cytherea",2009,3112.10820941289,1
4,"AC","Acropora cytherea",2010,3623.33254165368,0
5,"AC","Acropora cytherea",2009,2349.4839029714,0
6,"AC","Acropora cytherea",2009,819.876046353304,1
6,"AC","Acropora cytherea",2010,688.219690108725,1
6,"AC","Acropora cytherea",2011,832.732262537727,1
6,"AC","Acropora cytherea",2012,300.45309260087,0
7,"AC","Acropora cytherea",2009,211.232706634816,1
7,"AC","Acropora cytherea",2010,672.322509469943,1
7,"AC","Acropora cytherea",2011,848.363524614938,1
7,"AC","Acropora cytherea",2012,990.256146500937,1
7,"AC","Acropora cytherea",2013,2180.09690215005,1
7,"AC","Acropora cytherea",2014,2149.08896124355,0
8,"AC","Acropora cytherea",2009,1839.36289998882,1
8,"AC","Acropora cytherea",2010,2915.95130512634,1
8,"AC","Acropora cytherea",2011,2294.06852416162,1
8,"AC","Acropora cytherea",2012,904.201105834867,1
8,"AC","Acropora cytherea",2013,337.547144510317,0
9,"AC","Acropora cytherea",2009,6771.50304484763,1
9,"AC","Acropora cytherea",2010,8771.82733792129,1
9,"AC","Acropora cytherea",2011,11113.9952580456,1
9,"AC","Acropora cytherea",2012,6727.69703156109,1
9,"AC","Acropora cytherea",2013,3328.20580085756,0
10,"AC","Acropora cytherea",2009,2395.27795877525,1
10,"AC","Acropora cytherea",2010,2858.86938493805,1
10,"AC","Acropora cytherea",2011,3426.84632565726,1
10,"AC","Acropora cytherea",2012,881.85110976357,0
11,"AC","Acropora cytherea",2009,708.30078569912,1
11,"AC","Acropora cytherea",2010,668.019352964927,1
11,"AC","Acropora cytherea",2011,1153.55753992501,1
11,"AC","Acropora cytherea",2012,1349.22396937973,0
12,"AC","Acropora cytherea",2009,1177.10670529333,1
12,"AC","Acropora cytherea",2010,1617.41869837007,1
12,"AC","Acropora cytherea",2011,1730.02995613698,1
12,"AC","Acropora cytherea",2012,707.681348875976,1
12,"AC","Acropora cytherea",2013,177.955828864327,0
13,"AC","Acropora cytherea",2009,3062.3403641128,0
14,"AC","Acropora cytherea",2009,356.914438031093,0
15,"AC","Acropora cytherea",2009,1226.07109688142,1
15,"AC","Acropora cytherea",2010,1884.41077064729,1
15,"AC","Acropora cytherea",2011,2622.97595156502,1
15,"AC","Acropora cytherea",2012,1769.13653127424,1
15,"AC","Acropora cytherea",2013,386.419749452872,1
15,"AC","Acropora cytherea",2014,36.987081491451,0
16,"AC","Acropora cytherea",2009,3607.15191944955,1
16,"AC","Acropora cytherea",2010,3069.10265313346,1
16,"AC","Acropora cytherea",2011,3274.62576689741,0
17,"AC","Acropora cytherea",2009,1506.50073133955,1
17,"AC","Acropora cytherea",2010,2326.8899005994,1
17,"AC","Acropora cytherea",2011,3441.18024313921,0
18,"AC","Acropora cytherea",2009,429.833410479893,0
19,"AC","Acropora cytherea",2009,104.704252101521,1
19,"AC","Acropora cytherea",2010,148.428349346287,1
19,"AC","Acropora cytherea",2011,218.103930012039,0
20,"AC","Acropora cytherea",2009,176.176554882806,1
20,"AC","Acropora cytherea",2010,365.378659386888,0
21,"AC","Acropora cytherea",2009,1898.27638535892,1
21,"AC","Acropora cytherea",2010,2827.41589747627,1
21,"AC","Acropora cytherea",2011,4298.51045152436,1
21,"AC","Acropora cytherea",2012,2689.5033363889,1
21,"AC","Acropora cytherea",2013,1229.83924959284,1
21,"AC","Acropora cytherea",2014,413.440109965363,0
22,"AC","Acropora cytherea",2009,616.469123120507,1
22,"AC","Acropora cytherea",2010,1164.9946349718,1
22,"AC","Acropora cytherea",2011,1570.39612439973,1
22,"AC","Acropora cytherea",2012,920.98651864111,0
24,"AC","Acropora cytherea",2009,2395.37700043894,1
24,"AC","Acropora cytherea",2010,2238.26024263442,1
24,"AC","Acropora cytherea",2011,1951.36129301108,1
24,"AC","Acropora cytherea",2012,2087.52051112839,0
25,"AC","Acropora cytherea",2009,229.389510273536,1
25,"AC","Acropora cytherea",2010,271.310189985259,0
26,"AC","Acropora cytherea",2009,4867.36320661858,1
26,"AC","Acropora cytherea",2010,6890.11433364911,1
26,"AC","Acropora cytherea",2011,6905.78969031685,0
29,"AC","Acropora cytherea",2009,15256.0531665217,1
29,"AC","Acropora cytherea",2010,17529.7903372089,1
29,"AC","Acropora cytherea",2011,7639.02020038825,1
29,"AC","Acropora cytherea",2012,10670.9794836487,1
29,"AC","Acropora cytherea",2013,10652.7759036035,1
29,"AC","Acropora cytherea",2014,9098.03133804692,0
30,"AC","Acropora cytherea",2009,3846.42719977696,1
30,"AC","Acropora cytherea",2010,720.398106376253,1
30,"AC","Acropora cytherea",2011,830.641740536609,1
30,"AC","Acropora cytherea",2012,951.050783630324,1
30,"AC","Acropora cytherea",2013,426.281163569522,1
30,"AC","Acropora cytherea",2014,73.5517570661722,0
31,"AC","Acropora cytherea",2010,87.0831794903056,0
32,"AC","Acropora cytherea",2010,107.910769162692,1
32,"AC","Acropora cytherea",2011,144.805290972553,0
33,"AC","Acropora cytherea",2010,362.526265724126,1
33,"AC","Acropora cytherea",2011,545.525898812216,1
33,"AC","Acropora cytherea",2012,491.150602284662,0
34,"AC","Acropora cytherea",2010,2161.89466152717,1
34,"AC","Acropora cytherea",2011,2581.53065896627,1
34,"AC","Acropora cytherea",2012,2808.38713685101,1
34,"AC","Acropora cytherea",2013,2711.1436735491,1
34,"AC","Acropora cytherea",2014,2453.67433411712,0
35,"AD","Acropora cf. digitifera",2009,748.940849614859,1
35,"AD","Acropora cf. digitifera",2010,421.896028102332,1
35,"AD","Acropora cf. digitifera",2011,397.621315621207,1
35,"AD","Acropora cf. digitifera",2012,371.714133691611,1
35,"AD","Acropora cf. digitifera",2013,303.317076083924,1
35,"AD","Acropora cf. digitifera",2014,197.915107324174,0
36,"AD","Acropora cf. digitifera",2009,577.627705986382,1
36,"AD","Acropora cf. digitifera",2010,509.661145336446,1
