"colony_id","spp","species","year","area_cm2","competition_id","competition_number","competition_outliner_name","competition_taxon","competition_growthform","competition_length_cm","competition","competition_type","competition_outcome"
4,"AC","Acropora cytherea",2010,3623.33254165368,311,1,"mariana","Acropora","Tabular",7.365494011,"certain","Digestion","won"
4,"AC","Acropora cytherea",2010,3623.33254165368,320,10,"mariana","Acropora","Corymbose",39.48969681,"certain","Overtop","won"
4,"AC","Acropora cytherea",2010,3623.33254165368,317,7,"mariana","Acropora","Tabular",5.102601273,"certain","Overtop","won"
4,"AC","Acropora cytherea",2010,3623.33254165368,319,9,"mariana","Isopora","Cuneiform",1.952299617,"uncertain","Overtop","won"
4,"AC","Acropora cytherea",2010,3623.33254165368,325,15,"mariana","Favid","Massive",3.993340127,"uncertain","Overtop","won"
4,"AC","Acropora cytherea",2010,3623.33254165368,322,12,"mariana","Favid","Massive",5.856898852,"certain","Overtop","won"
4,"AC","Acropora cytherea",2010,3623.33254165368,313,3,"mariana","Pocilloporid","Corymbose",20.41040509,"certain","Overtop","lost"
4,"AC","Acropora cytherea",2010,3623.33254165368,314,4,"mariana","Acropora","Tabular",13.62172688,"certain","Overtop","lost"
4,"AC","Acropora cytherea",2010,3623.33254165368,315,5,"mariana","Soft coral","Encrusting",1.641706496,"uncertain","Overtop","won"
4,"AC","Acropora cytherea",2010,3623.33254165368,316,6,"mariana","Pocilloporid","Corymbose",11.00387057,"uncertain","Overtop","won"
4,"AC","Acropora cytherea",2010,3623.33254165368,321,11,"mariana","Isopora","Cuneiform",23.47196585,"certain","Overtop","won"
5,"AC","Acropora cytherea",2009,2349.4839029714,54,7,"mariana","Acropora","Tabular",11.90495134,"certain","Overtop","won"
5,"AC","Acropora cytherea",2009,2349.4839029714,53,6,"mariana","Acropora","Branching",5.847308254,"uncertain","Digestion","lost"
5,"AC","Acropora cytherea",2009,2349.4839029714,56,9,"mariana","Favid","Massive",26.54425546,"certain","Overtop","won"
5,"AC","Acropora cytherea",2009,2349.4839029714,52,5,"mariana","Acropora","Tabular",3.112955474,"uncertain","Standoff","standoff"
5,"AC","Acropora cytherea",2009,2349.4839029714,55,8,"mariana","Acropora","Tabular",11.82081741,"certain","Digestion","mutual_digestion"
5,"AC","Acropora cytherea",2009,2349.4839029714,48,1,"mariana","Pocilloporid","Corymbose",38.74367556,"certain","Overtop","lost"
5,"AC","Acropora cytherea",2009,2349.4839029714,49,2,"mariana","Acropora","Branching",25.91325097,"certain","Overtop","won"
5,"AC","Acropora cytherea",2009,2349.4839029714,51,4,"mariana","Acropora","Tabular",1.388209873,"uncertain","Overtop","won"
5,"AC","Acropora cytherea",2009,2349.4839029714,50,3,"mariana","Acropora","Tabular",4.627366244,"uncertain","Standoff","standoff"
6,"AC","Acropora cytherea",2009,819.876046353304,57,1,"mariana","Isopora","Encrusting",5.962015124,"certain","Overtop","won"
6,"AC","Acropora cytherea",2009,819.876046353304,61,5,"mariana","Favid","Encrusting",9.718901366,"certain","Overtop","won"
6,"AC","Acropora cytherea",2009,819.876046353304,58,2,"mariana","Acropora","Tabular",5.676165083,"certain","Overtop","lost"
6,"AC","Acropora cytherea",2009,819.876046353304,59,3,"mariana","Acropora","Tabular",4.573600643,"certain","Overtop","lost"
6,"AC","Acropora cytherea",2010,688.219690108725,68,1,"mariana","Acropora","Tabular",28.34284509,"certain","Overtop","lost"
6,"AC","Acropora cytherea",2011,832.732262537727,3250,5,"mariana","Acropora","Tabular",27.6180963,"certain","Overtop","lost"
