"colony_id","spp","species","year","area_cm2","area_cm2_next"
40,"AD","Acropora cf. digitifera",2011,900.137129406833,770.429307216318
40,"AD","Acropora cf. digitifera",2012,770.429307216318,296.537654049651
40,"AD","Acropora cf. digitifera",2013,296.537654049651,65.6634022915402
41,"AD","Acropora cf. digitifera",2009,294.214146559736,234.080078751729
43,"AD","Acropora cf. digitifera",2009,346.134067946341,361.179890706198
43,"AD","Acropora cf. digitifera",2010,361.179890706198,377.171067353123
43,"AD","Acropora cf. digitifera",2011,377.171067353123,280.655928475284
43,"AD","Acropora cf. digitifera",2012,280.655928475284,145.300848210019
43,"AD","Acropora cf. digitifera",2013,145.300848210019,100.094036565266
44,"AD","Acropora cf. digitifera",2009,673.754533597355,590.876307713059
44,"AD","Acropora cf. digitifera",2010,590.876307713059,433.774869046633
44,"AD","Acropora cf. digitifera",2011,433.774869046633,437.473522235927
44,"AD","Acropora cf. digitifera",2012,437.473522235927,318.095113772646
44,"AD","Acropora cf. digitifera",2013,318.095113772646,74.4087887198729
45,"AD","Acropora cf. digitifera",2009,89.9460840105586,121.160596295889
45,"AD","Acropora cf. digitifera",2010,121.160596295889,145.782113225454
45,"AD","Acropora cf. digitifera",2011,145.782113225454,169.011441718734
45,"AD","Acropora cf. digitifera",2012,169.011441718734,149.20056751868
47,"AD","Acropora cf. digitifera",2009,434.035185283544,93.5418267508498
48,"AD","Acropora cf. digitifera",2009,1288.71386142815,1449.66365393837
48,"AD","Acropora cf. digitifera",2010,1449.66365393837,1325.27051709224
48,"AD","Acropora cf. digitifera",2011,1325.27051709224,1178.02511167131
49,"AD","Acropora cf. digitifera",2009,298.745906099541,233.628516681823
49,"AD","Acropora cf. digitifera",2010,233.628516681823,142.233363026762
49,"AD","Acropora cf. digitifera",2011,142.233363026762,140.506990888913
49,"AD","Acropora cf. digitifera",2012,140.506990888913,147.042177582395
49,"AD","Acropora cf. digitifera",2013,147.042177582395,143.432052682367
51,"AD","Acropora cf. digitifera",2009,391.432701399224,438.970672509627
51,"AD","Acropora cf. digitifera",2010,438.970672509627,498.033380911719
51,"AD","Acropora cf. digitifera",2011,498.033380911719,469.779980718659
51,"AD","Acropora cf. digitifera",2012,469.779980718659,387.381740392231
51,"AD","Acropora cf. digitifera",2013,387.381740392231,351.083460088436
52,"AD","Acropora cf. digitifera",2009,419.654948159703,462.553485737991
52,"AD","Acropora cf. digitifera",2010,462.553485737991,504.760608508544
52,"AD","Acropora cf. digitifera",2011,504.760608508544,511.759245025551
52,"AD","Acropora cf. digitifera",2012,511.759245025551,515.747113833839
52,"AD","Acropora cf. digitifera",2013,515.747113833839,482.485128992474
53,"AD","Acropora cf. digitifera",2009,101.195333788606,145.092618066019
53,"AD","Acropora cf. digitifera",2010,145.092618066019,191.077199275013
53,"AD","Acropora cf. digitifera",2011,191.077199275013,243.93233449695
53,"AD","Acropora cf. digitifera",2012,243.93233449695,218.016758626352
53,"AD","Acropora cf. digitifera",2013,218.016758626352,188.529569795997
54,"AD","Acropora cf. digitifera",2009,212.681967159778,422.399837722757
54,"AD","Acropora cf. digitifera",2010,422.399837722757,463.630814356133
54,"AD","Acropora cf. digitifera",2011,463.630814356133,563.672374093946
54,"AD","Acropora cf. digitifera",2012,563.672374093946,595.627852123079
54,"AD","Acropora cf. digitifera",2013,595.627852123079,694.178951205265
55,"AD","Acropora cf. digitifera",2009,322.613543899783,510.013207168921
55,"AD","Acropora cf. digitifera",2010,510.013207168921,668.967300265506
55,"AD","Acropora cf. digitifera",2011,668.967300265506,870.821306733631
55,"AD","Acropora cf. digitifera",2012,870.821306733631,987.575928378984
55,"AD","Acropora cf. digitifera",2013,987.575928378984,1131.48566358142
56,"AD","Acropora cf. digitifera",2009,107.36706665779,121.790989002579
56,"AD","Acropora cf. digitifera",2010,121.790989002579,158.620296951373
56,"AD","Acropora cf. digitifera",2011,158.620296951373,125.31576787384
56,"AD","Acropora cf. digitifera",2012,125.31576787384,160.409119929584
56,"AD","Acropora cf. digitifera",2013,160.409119929584,220.659553586148
57,"AD","Acropora cf. digitifera",2009,519.033172807613,456.238879842353
57,"AD","Acropora cf. digitifera",2010,456.238879842353,538.735821528905
57,"AD","Acropora cf. digitifera",2011,538.735821528905,546.268501356604
57,"AD","Acropora cf. digitifera",2012,546.268501356604,535.055298523828
57,"AD","Acropora cf. digitifera",2013,535.055298523828,612.141085562642
58,"AD","Acropora cf. digitifera",2009,448.463033741947,552.673376375591
59,"AD","Acropora cf. digitifera",2009,694.623924205546,775.214491987759
59,"AD","Acropora cf. digitifera",2010,775.214491987759,758.755565010586
59,"AD","Acropora cf. digitifera",2011,758.755565010586,765.145583756345
59,"AD","Acropora cf. digitifera",2012,765.145583756345,794.392549794825
59,"AD","Acropora cf. digitifera",2013,794.392549794825,868.043855185168
60,"AD","Acropora cf. digitifera",2009,1251.73462821575,1360.01154305607
60,"AD","Acropora cf. digitifera",2010,1360.01154305607,1103.65012666028
60,"AD","Acropora cf. digitifera",2011,1103.65012666028,1261.12657000355
60,"AD","Acropora cf. digitifera",2012,1261.12657000355,1135.68161990668
60,"AD","Acropora cf. digitifera",2013,1135.68161990668,1022.06424897584
61,"AD","Acropora cf. digitifera",2009,447.089881813528,405.383261827689
61,"AD","Acropora cf. digitifera",2010,405.383261827689,365.320431890331
61,"AD","Acropora cf. digitifera",2011,365.320431890331,271.580746978463
61,"AD","Acropora cf. digitifera",2012,271.580746978463,171.124763272182
61,"AD","Acropora cf. digitifera",2013,171.124763272182,106.985465851646
62,"AD","Acropora cf. digitifera",2009,515.439736568952,226.261821671692
62,"AD","Acropora cf. digitifera",2010,226.261821671692,260.560574653308
63,"AD","Acropora cf. digitifera",2009,313.987435600112,302.550978293092
63,"AD","Acropora cf. digitifera",2010,302.550978293092,333.934138480377
63,"AD","Acropora cf. digitifera",2011,333.934138480377,353.41667502602
